instruction,input,output
Create a Python code snippet to convert temperatures from Fahrenheit to Celsius.,,"def fahrenheit_to_celsius(temp):
    """"""Converts temperature in Fahrenheit to Celsius.""""""
    return (temp - 32.0) * 5.0 / 9.0"
Create a dictionary containing the numbers from 1 to 5 as keys and the strings ‘one’ to ‘five’ as values.,,"my_dict = {
    1: 'one',
    2: 'two',
    3: 'three',
    4: 'four',
    5: 'five'
}"
"Write a Python code snippet to randomly select a number from a list [1, 2, 3, 4, 5, 6].",,"import random

my_list = [1, 2, 3, 4, 5, 6]

random_number = random.choice(my_list)
print(random_number)"
"Sort a list of characters ['c', 'a', 'f', 'b', 'e'] alphabetically.",,"my_list = ['c', 'a', 'f', 'b', 'e']

sorted_list = sorted(my_list)

print(sorted_list) # ['a', 'b', 'c', 'e', 'f']"
Search for the string “Example sentence” in an input string and store its index.,"input_string = ""This is an Example sentence.""","import re

input_string = ""This is an Example sentence.""

match = re.search('Example sentence', input_string)
index = match.start() # index = 8"
Find all the words in a string that starts with 'a'.,"string = ""aardvark apple ant armadillo""","import re

string = ""aardvark apple ant armadillo""

words = re.findall(r'\ba\w+', string)

print(words) # ['aardvark', 'apple', 'ant']"
Write a JavaScript code snippet to print out the current date in the format YYYY-MM-DD.,,"let today = new Date();
let year = today.getFullYear();
let month = String(today.getMonth() + 1).padStart(2, '0');
let date = String(today.getDate()).padStart(2, '0');

console.log(`${year}-${month}-${date}`);"
"Write a JavaScript code snippet to compare two numeric values and print to the console either “Smaller”, “Equal”, or “Bigger”.",,"let a = 3;
let b = 5;

if (a < b) {
    console.log(""Smaller"")
} else if (a === b) {
    console.log(""Equal"")
} else {
    console.log(""Bigger"")
}"
"Create a function that takes an integer as an argument and returns true if the integer is even, false otherwise.",,"def is_even(num):
    """"""Returns true if the number is even, false otherwise.""""""
    if num % 2 == 0:
        return True
    else:
        return False"
Create a program that will print out the prime numbers in a given range.,,"def is_prime(n):
    """"""Check if a number is a prime number""""""
    if n < 2:
        return False
    for i in range(2, n):
        if n % i == 0:
            return False
    return True

def print_primes_in_range(start, end):
    """"""Prints all the prime numbers in a given range""""""
    for i in range(start, end + 1):
        if is_prime(i):
            print(i)"
Replace all the characters in a given string with the character “X”.,"string = ""Hello World!""","string = ""Hello World!""

replaced_string = string.replace("""", ""X"")

print(replaced_string) # XXXXXXXXXXXX"
How can you find the number of elements in an array using JavaScript?,,"The number of elements in an array can be found using the length property of an array in JavaScript. The length property returns the number of elements in an array. 
For example:

let arr = [1,2,3,4,5];
let numberOfElements = arr.length; // numberOfElements = 5"
Write a function in Python to print the maximum number between two numbers given as input.,"num1 = 10, num2 = 12","def max_num(num1, num2):
    if num1 > num2:
        return num1
    else:
        return num2

max_num_val = max_num(10, 12)
print(""The maximum of the two numbers is:"", max_num_val)"
How can you convert a JSON string to a JavaScript object?,,"The easiest way to convert a JSON string to a JavaScript object is to use the built-in JSON.parse() method. This method takes a JSON string as input and parses it into an object. For example:

let jsonString = '{""name"":""John"",""age"":30}';
let data = JSON.parse(jsonString);
console.log(data.name); // John
console.log(data.age); // 30"
Write a CSS HTML snippet to create the following design.,,"<div>
    <div class=""first"">
        <div class=""square"">1</div>
        <div class=""square"">2</div>
        <div class=""square"">3</div>
    </div>
    <div class=""second"">
        <div class=""square"">4</div>
        <div class=""square"">5</div>
        <div class=""square"">6</div>
    </div>
</div>

<style>
    .first, .second{
        display: flex;
    }
    .square {
        background: #000;
        padding: 10px;
        margin: 5px;
        font-weight: bold;
        color: #FFF;
        width: 30px;
        height: 30px;
    }
</style>"
How can you check if an element exists in an array using JavaScript?,,"The easiest way to check if an element exists in an array using JavaScript is to use the Array.prototype.includes() method. This method returns true if the array contains the element, and false if it does not. 

For example:

let arr = [1, 2, 3, 4];
let element = 3;

if(arr.includes(element)) {
  console.log(""Element exists in the array"");
}
else {
  console.log(""Element does not exist in the array"");
}"
"Add the 'h1' HTML tag with the text ""My Page"" to the top of the page.",,<h1>My Page</h1>
Create a function called ‘sum_even’ in C language that returns the sum of all even integers between two given integers.,,"int sum_even(int a, int b) {
    int sum = 0;
    for (int i=a; i<=b; i++) {
        if (i % 2 == 0) {
            sum += i;
        }
    }
    return sum;
}"
Write a SOQL query to count the total number of records in the 'Contact' object.,,SELECT COUNT(id) FROM Contact;
Write an XSLT template for transforming elements with the 'item' tag into an HTML table.,,"<xsl:template match=""item"">
   <table>
   <tbody>
      <xsl:for-each select=""*"">
         <tr>
            <td><xsl:value-of select=""name()""/></td>
            <td><xsl:value-of select="".""/></td>
         </tr>
      </xsl:for-each>
   </tbody>
   </table>
</xsl:template>"
Convert a given binary string to its corresponding decimal value.,110011,"int decimalValue = Integer.parseInt(binaryString, 2);"
Add the proper annotation to a Java method for rejecting any request that does not contain at least one parameter.,,"@RequestMapping(method = RequestMethod.GET, params = {""param1"", ""param2""}) 
public String rejectRequest() {
   // Method logic here 
}"
Write a function in Python to print the first 10 elements in a list.,,"def print_first_10_elements(list): 
  for i in range (0, 10): 
    print (list[i])"
"Create an HTML table with four columns and five rows, each containing a corresponding number ranging from 1 to 5.",,"<table>
  <tr><td>1</td><td>2</td><td>3</td><td>4</td></tr>
  <tr><td>2</td><td>3</td><td>4</td><td>5</td></tr>
  <tr><td>3</td><td>4</td><td>5</td><td>1</td></tr>
  <tr><td>4</td><td>5</td><td>1</td><td>2</td></tr>
  <tr><td>5</td><td>1</td><td>2</td><td>3</td></tr>
</table>"
Write a Python function to find the mode of the given list of numbers.,,"def find_mode(numbers): 
    data = Counter(numbers) 
    get_mode = dict(data) 
    mode = [k for k, v in get_mode.items() if v == max(list(data.values()))] 

    if len(mode) == len(numbers): 
        get_mode = ""No mode found""
    else: 
        get_mode = ""Mode is / are: "" + ', '.join(map(str, mode)) 
  
    return get_mode"
"Create an HTML form with two input fields of type ‘text’, one labeled ‘First Name’ and one labeled ‘Last Name’.",,"<form>
    <div><input type=""text"" name=""first_name"" placeholder=""First Name"" /></div>
    <div><input type=""text"" name=""last_name"" placeholder=""Last Name"" /></div>
</form>"
Determine the largest value in an array of integers.,"[1, 2, 20, 15, 10]",
Generate a java program to print the sum of elements in an array,"[1, 2, 3, 4, 5]","class ArraySum {
    public static void main(String[] args) {
        int[] arr = {1, 2, 3, 4, 5};
        int sum = 0;
        for (int i=0; i<arr.length; i++) {
            sum += arr[i];
        }
        System.out.println(""Sum of array elements is "" + sum);
    }
}"
Edit the following JavaScript code to convert it into an array,"let string = ""Apple, Orange, Banana, Pear""","let arr = string.split("", ""); 
console.log(arr); // Output: [""Apple"", ""Orange"", ""Banana"", ""Pear""]"
Generate a function to convert a numeric degree temperature to its equivalent in Celsius,,"// Function to convert Fahrenheit to Celsius
function toCelsius(fahrenheit) {
  return (fahrenheit - 32) * 5/9;
}"
Write a function to find the type of a variable,,"function findType(val) {
    return typeof val;
}"
How does the any() method work in Java?,,"The any() function in Java returns true if at least one element of the stream matches the provided predicate. It returns false if all elements are false. It takes in a predicate as an argument and checks all the elements in the stream, returning true if any element satisfies the given predicate. It is a terminal operation and is available in the java.util.stream package."
